	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
tout	0.36	0.19270833333333334	0.1333333333333333	0.07465277777777778	0.64	0.8072916666666666	0.08677685950413222	0.16729166666666664	0.19959688477693602	-0.04567537402170617	0.040901421172558586	-0.06622334019059677	-0.05792628322581292	-0.35395833317298736	-0.018235436639295888	-0.35395833296540774	-0.03677661484726158	-0.3539583333277785	-0.12408067238979437
dernier	0.66	0.5	0.3866666666666666	0.2847222222222222	0.33999999999999997	0.5	0.3057851239669421	0.16000000000000003	0.1607951220559791	-0.03180219548579577	0.06286608226665603	-0.06368791099623733	-0.06519456913390706	-0.35395833322003334	-0.1010946561909718	-0.35395833305357527	-0.06925346540034005	-0.3539583333285687	-0.1328207581694184
sourd	0.2	0.041666666666666664	0.06666666666666665	0.013888888888888888	0.7999999999999999	0.9583333333333335	0.024793388429752067	0.15833333333333335	0.21162286128410074	-0.047568183292255733	0.038482487001206274	-0.06310838432324095	-0.05162535857325539	-0.35395833292133333	0.13642788273298206	-0.35395833234453333	0.011740325372125548	-0.35395833332748416	-0.11770747854153996
tranquille	0.38	0.22395833333333334	0.16	0.09375000000000001	0.6199999999999999	0.7760416666666666	0.10743801652892564	0.15604166666666666	0.18447890319599097	-0.04324812448653083	0.04608899596269521	-0.062311535147870786	-0.055268279336727545	-0.3539583331876961	-0.04175368833792803	-0.35395833298176	-0.03595205920586375	-0.3539583333277354	-0.12190192708184966
immortel	0.3	0.14583333333333334	0.1266666666666667	0.06944444444444445	0.6999999999999998	0.8541666666666667	0.081267217630854	0.15416666666666665	0.19220122046842164	-0.04614300925325368	0.03993935270931548	-0.061659567640749834	-0.05276934020053189	-0.3539583331567619	-0.0008923665735096065	-0.35395833295758933	-0.03587045852562043	-0.35395833332759113	-0.11924585806773158
amoureux	0.3	0.15104166666666666	0.12666666666666668	0.08159722222222221	0.7	0.8489583333333333	0.0909090909090909	0.14895833333333333	0.18606645359374852	-0.05003996951614987	0.02975148429648053	-0.05984854678763585	-0.051338981227998695	-0.3539583331628506	-0.0096031296749855	-0.3539583330135512	-0.06691515601424691	-0.35395833332755594	-0.11800671747440217
sauvage	0.22	0.07291666666666667	0.08	0.02951388888888889	0.78	0.9270833333333333	0.03994490358126722	0.14708333333333334	0.19436377787660059	-0.048303038656116154	0.03595362846093334	-0.05919657928051482	-0.04909752258511605	-0.35395833307436186	0.06324162697063268	-0.35395833277495214	-0.01519650314162091	-0.35395833332743815	-0.11564323856535874
horrible	0.28	0.13541666666666666	0.1333333333333333	0.06770833333333333	0.72	0.8645833333333333	0.081267217630854	0.14458333333333337	0.1833894130923059	-0.043448539585765486	0.046744599753209735	-0.05832728927102016	-0.04969643975329871	-0.3539583331558564	-0.0031116874316828302	-0.35395833292767176	-0.017647919651039623	-0.35395833332749826	-0.11647294032727573
prochain	0.22	0.078125	0.07999999999999997	0.03125	0.7799999999999999	0.921875	0.04132231404958678	0.141875	0.18784847485197714	-0.048859747265101325	0.03444011383322425	-0.05738555842740098	-0.047718681616488436	-0.35395833309162666	0.048868014544699634	-0.35395833280597333	-0.02169443586577602	-0.35395833332740484	-0.1144550713102449
criminel	0.48	0.3385416666666667	0.20666666666666667	0.19270833333333337	0.52	0.6614583333333335	0.19559228650137742	0.1414583333333333	0.15856701568401807	-0.06001618778916411	0.0034463988167567697	-0.057240676759151884	-0.053594033202884916	-0.35395833321163483	-0.08424478198543128	-0.35395833311241226	-0.13697893999729582	-0.353958333327825	-0.12107475557888558
