	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
rassembler	0.22	0.015625	0.07333333333333333	0.005208333333333333	0.78	0.984375	0.01928374655647383	0.204375	0.273293132781679	0.22888022964984078	0.2462556301288817	-0.06658088493863627	-0.04829501374010274	-0.3997916656898667	0.37200561035617963	-0.39979166506826663	0.1805495895302327	-0.3997916666599355	-0.1262624793494208
déclarer	0.6	0.3958333333333333	0.3133333333333333	0.18923611111111113	0.4	0.6041666666666667	0.21487603305785127	0.20416666666666666	0.21066071573999437	0.24108568667576163	0.27093814505813685	-0.06649305921862364	-0.06415866126638747	-0.3997916665615088	-0.049135068430678885	-0.399791666478698	0.06934307067321632	-0.39979166666104243	-0.14374216112726212
retrouver	0.26	0.057291666666666664	0.10666666666666666	0.01909722222222222	0.74	0.9427083333333334	0.03719008264462809	0.20270833333333335	0.2626946301760022	0.2331203387903592	0.25819799443546443	-0.06587827917853503	-0.049148628487623316	-0.3997916663518303	0.22265160874472611	-0.39979166603259064	0.21426205551529287	-0.3997916666599984	-0.1273184509657156
enfermer	0.3	0.09895833333333333	0.09999999999999999	0.034722222222222224	0.7	0.9010416666666665	0.04820936639118457	0.20104166666666667	0.25276747900501206	0.22825935652569343	0.2432700179575985	-0.0651756734184337	-0.05003898602749182	-0.3997916664563509	0.13614083412314537	-0.3997916663397212	0.10738999656300996	-0.39979166666006716	-0.12842054702259287
veiller	0.24	0.041666666666666664	0.08666666666666667	0.013888888888888888	0.76	0.9583333333333334	0.02892561983471074	0.19833333333333333	0.2607945085598131	0.2298948271941791	0.2489295714280123	-0.06403393905826917	-0.04707526689313182	-0.39979166626706664	0.2586086110974435	-0.39979166595828486	0.17530251817477183	-0.3997916666599298	-0.1254010335021094
lever	0.28	0.08333333333333333	0.12	0.027777777777777776	0.7199999999999999	0.9166666666666667	0.04683195592286502	0.1966666666666667	0.2507908955798501	0.23413493633469754	0.26070753711020156	-0.06333133329816797	-0.0479130785415372	-0.3997916664335667	0.15652099719594836	-0.39979166617624845	0.2067791390404159	-0.3997916666599943	-0.12644486045995496
tarder	0.3	0.10416666666666667	0.12000000000000001	0.03645833333333333	0.7	0.8958333333333333	0.05371900826446282	0.1958333333333333	0.24602612268057616	0.23224203046839467	0.254809216979009	-0.06298003041811723	-0.048345525013097926	-0.39979166646686665	0.12120267406230534	-0.3997916662930147	0.16011068718430554	-0.3997916666600288	-0.1269838603926895
jeter	0.5	0.3072916666666667	0.2866666666666666	0.140625	0.5	0.6927083333333333	0.17079889807162535	0.19270833333333331	0.2112700384398378	0.2458709527057753	0.28585123386652894	-0.06166264461792732	-0.055135000444240356	-0.3997916665537853	-0.02914713422040416	-0.3997916664352485	0.14203397901676695	-0.399791666660535	-0.1347396622290995
souhaiter	0.54	0.3489583333333333	0.2533333333333333	0.14583333333333334	0.45999999999999996	0.6510416666666665	0.16804407713498623	0.19104166666666672	0.20429446336670115	0.23746645065939057	0.2639109496112306	-0.06096003885782603	-0.05630534968307793	-0.3997916665593114	-0.04352755948743864	-0.39979166646946146	0.07631074879182831	-0.3997916666606645	-0.13619311644593857
ranger	0.3	0.109375	0.11333333333333334	0.04513888888888889	0.7	0.890625	0.05922865013774105	0.190625	0.2393138616401227	0.2288953728967712	0.24474067151370454	-0.060784387417800775	-0.04664763895836167	-0.3997916664763809	0.10700580586572572	-0.39979166638163727	0.09998245302882725	-0.39979166665998994	-0.12554010590186804
