	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
nuit	0.56	0.19270833333333334	0.3	0.10069444444444443	0.44	0.8072916666666667	0.1418732782369146	0.3672916666666667	0.3867718283047786	0.20707922706240245	0.1853553099515852	-0.07540877641804705	-0.05851481739905401	-0.3727083331067604	0.26042252413305333	-0.3727083331984535	-0.005115297197219648	-0.37270833332812986	-0.13679942771007747
pleur	0.84	0.4739583333333333	0.9066666666666667	0.36284722222222215	0.15999999999999998	0.5260416666666667	0.47520661157024796	0.36604166666666665	0.32405641376371597	0.32573954418794904	0.3822711453880906	-0.0748165462249887	-0.08855458624098278	-0.37270833319514873	0.058132918461781924	-0.37270833322020924	-0.007447374431644449	-0.3727083333304295	-0.1682925992671216
pleurs	0.84	0.4739583333333333	0.9066666666666667	0.3611111111111111	0.15999999999999998	0.5260416666666667	0.4738292011019284	0.36604166666666665	0.32405641376371597	0.3263375099061788	0.38370999428216784	-0.0748165462249887	-0.08855458624098278	-0.37270833319514873	0.058132918461781924	-0.3727083332196654	-0.005905956656993394	-0.3727083333304295	-0.1682925992671216
autel	0.52	0.16145833333333334	0.5333333333333333	0.07118055555555555	0.48000000000000004	0.8385416666666667	0.16666666666666666	0.35854166666666665	0.3868936185416791	0.2976112368024132	0.40228812951467524	-0.07126316506663866	-0.05165704352296316	-0.3727083330822237	0.3010182550378533	-0.3727083329941233	0.3350311275312007	-0.37270833332786835	-0.13045013986697973
bouche	0.56	0.21354166666666666	0.37333333333333335	0.08680555555555555	0.43999999999999995	0.7864583333333333	0.14600550964187325	0.3464583333333334	0.36230690026493445	0.23712102474627395	0.2613138989971563	-0.065538273200408	-0.05049418250226306	-0.3727083331288651	0.21479780502642598	-0.3727083331386268	0.10861872951270823	-0.37270833332799197	-0.13034844912930466
cri	0.54	0.19791666666666666	0.29333333333333333	0.09548611111111112	0.46	0.8020833333333333	0.13636363636363638	0.3420833333333334	0.36207013420245526	0.20657693585908932	0.18483905322825925	-0.06346546752470378	-0.047094913737912886	-0.3727083331206018	0.23009394211654455	-0.3727083331942572	-0.00026127064092373864	-0.37270833332785797	-0.12718529500704623
reine	0.58	0.23958333333333334	0.8	0.22916666666666666	0.42	0.7604166666666666	0.34710743801652894	0.3404166666666666	0.3505922687082668	0.33504389076360663	0.4322051543173569	-0.0626758272672927	-0.049889068699025346	-0.3727083331445812	0.18175016969942281	-0.3727083331752923	0.10671855108991402	-0.3727083333280602	-0.13028157691822728
sein	0.6	0.2604166666666667	0.3066666666666667	0.13194444444444442	0.39999999999999997	0.7395833333333334	0.16804407713498623	0.3395833333333333	0.34508651455296113	0.19861203249226672	0.15997953934052142	-0.0622810071385872	-0.051337815175294954	-0.37270833315369334	0.16183075331135732	-0.3727083332281113	-0.05990836831976204	-0.3727083333281698	-0.13188741081899158
voix	0.74	0.40625	0.6	0.23611111111111113	0.26000000000000006	0.59375	0.31129476584022037	0.33375	0.3103578697403952	0.26376637715059936	0.291124108358249	-0.05951726623764819	-0.06257400367578345	-0.3727083331913103	0.06902595891840657	-0.3727083332182888	-0.007374159945429282	-0.3727083333291527	-0.14434561873140617
front	0.58	0.2552083333333333	0.37999999999999995	0.11458333333333333	0.42000000000000004	0.7447916666666665	0.1694214876033058	0.32479166666666665	0.33284662738407783	0.229849761612598	0.23875154518372438	-0.05527294985406339	-0.04372986885050606	-0.37270833315613744	0.1550578401068876	-0.37270833318319435	0.04247062313669825	-0.37270833332794956	-0.12526578408566325
