lemma	F	tc0093	tc0094	tc0096	tc0098	tc0101	tc0113	tc0114	tc0115	tc0116	tc0117	tc0118	tc0163	tc0165	tc0183	tc0189	tc0190	tc0193	tc0196	tc0200	tc0203	tc0204	tc0206	tc0207	tc0219	tc0221	tc0222	tc0224	tc0225	tc0226	tc0227	tc0628	tc0629	tc0630	tc0632	tc0636	tc0637	tc0645	tc0648	tc0649	tc0651	tc0653	tc0654	tc0655	tc0656	tc0657	tc0658	tc0659	tc0661	tc0664
ce instant	25	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	2	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ce nuit	25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	2	0	4	1	0	0	0	0	0	0	0	0	0	4	1	0	3	1	1	2	0	0	1
ce titre	25	0	0	0	0	0	0	0	0	1	2	0	0	4	1	3	1	0	0	0	0	2	0	0	1	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1
ce loi	23	0	1	2	0	0	1	0	0	2	0	0	2	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	0	0	1	1
ce cour	22	3	0	4	0	1	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0
ce courroux	22	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	2	2	0	0	2	0	1	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0
ce gloire	22	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	1	1	1	0	0	3	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1
ce orgueil	22	0	3	1	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	2	1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0
ce objet	21	1	0	0	0	0	2	2	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	2	0	0	1
ce temps	21	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	2	0	0	1	0	0	1	0	0	0	1	2	1	0	4	0	2	0	0
ce devoir	20	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	2	0	0	3	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0
ce refus	20	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	1	1	1	2	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0
ce sentiment	20	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ce changement	19	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	3	0	1	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0
ce monstre	19	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	1	0	0	0	1	0	0	2	0	0	2	1
ce mur	19	0	0	0	0	0	2	1	1	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0
ce mystère	19	2	0	0	1	2	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1
